3f30X_M33.pdb     -456.159882 kBT
3f30X_M368.pdb     -426.542148 kBT
3f30X_M421.pdb     -427.269237 kBT
3f30X_M53.pdb     -436.838491 kBT
3f30X_M265.pdb     -387.083258 kBT
3f30X_M12.pdb     -498.130286 kBT
3f30X_M35.pdb     -439.557313 kBT
3f30X_M184.pdb     -428.449918 kBT
3f30X_M361.pdb     -403.361518 kBT
3f30X_M360.pdb     -405.404443 kBT
3f30X_M246.pdb     -376.744155 kBT
3f30X.pdb     -494.986595 kBT
3f30X_M19.pdb     -483.397330 kBT
3f30X_M196.pdb     -415.208913 kBT
3f30X_M406.pdb     -397.897919 kBT
3f30X_M157.pdb     -417.009992 kBT
3f30X_M469.pdb     -424.662020 kBT
3f30X_M374.pdb     -380.426687 kBT
3f30X_M1.pdb     -467.686409 kBT
3f30X_M20.pdb     -476.165740 kBT
3f30X_M474.pdb     -400.960401 kBT
3f30X_M482.pdb     -418.423435 kBT
3f30X_M15.pdb     -491.214375 kBT
3f30X_M11.pdb     -492.553363 kBT
3f30X_M430.pdb     -425.973847 kBT
3f30X_M39.pdb     -440.296602 kBT
3f30X_M126.pdb     -414.483513 kBT
3f30X_M32.pdb     -459.509377 kBT
3f30X_M301.pdb     -416.333120 kBT
3f30X_M38.pdb     -450.371134 kBT
3f30X_M302.pdb     -386.790706 kBT
3f30X_M27.pdb     -476.082171 kBT
3f30X_M411.pdb     -380.624148 kBT
3f30X_M111.pdb     -427.341112 kBT
3f30X_M109.pdb     -401.341541 kBT
3f30X_M342.pdb     -385.221698 kBT
3f30X_M146.pdb     -472.866815 kBT
3f30X_M45.pdb     -457.113374 kBT
3f30X_M409.pdb     -428.995966 kBT
3f30X_M267.pdb     -394.236971 kBT
3f30X_M4.pdb     -483.933306 kBT
3f30X_M314.pdb     -434.587635 kBT
3f30X_M393.pdb     -375.658393 kBT
3f30X_M388.pdb     -421.115565 kBT
3f30X_M100.pdb     -434.020442 kBT
3f30X_M273.pdb     -406.684105 kBT
3f30X_M90.pdb     -425.280697 kBT
3f30X_M89.pdb     -431.376825 kBT
3f30X_M287.pdb     -390.680602 kBT
3f30X_M105.pdb     -403.823080 kBT
3f30X_M150.pdb     -442.853646 kBT
3f30X_M203.pdb     -401.533095 kBT
3f30X_M164.pdb     -409.081697 kBT
3f30X_M114.pdb     -432.886192 kBT
3f30X_M215.pdb     -429.701593 kBT
3f30X_M260.pdb     -470.883405 kBT
3f30X_M328.pdb     -381.039692 kBT
3f30X_M22.pdb     -479.945016 kBT
3f30X_M194.pdb     -426.761689 kBT
3f30X_M130.pdb     -442.163313 kBT
3f30X_M320.pdb     -410.589232 kBT
3f30X_M432.pdb     -405.860057 kBT
3f30X_M200.pdb     -419.360350 kBT
3f30X_M336.pdb     -413.131268 kBT
3f30X_M334.pdb     -387.229191 kBT
3f30X_M319.pdb     -403.316021 kBT
3f30X_M240.pdb     -382.462637 kBT
3f30X_M102.pdb     -460.934329 kBT
3f30X_M339.pdb     -428.316287 kBT
3f30X_M257.pdb     -415.348993 kBT
3f30X_M453.pdb     -383.248680 kBT
3f30X_M209.pdb     -412.823051 kBT
3f30X_M221.pdb     -422.595911 kBT
3f30X_M386.pdb     -408.414146 kBT
3f30X_M258.pdb     -402.119591 kBT
3f30X_M331.pdb     -381.280787 kBT
3f30X_M433.pdb     -423.448624 kBT
3f30X_M312.pdb     -415.195642 kBT
3f30X_M410.pdb     -396.075739 kBT
3f30X_M369.pdb     -392.963023 kBT
3f30X_M458.pdb     -378.521991 kBT
3f30X_M133.pdb     -443.789927 kBT
3f30X_M272.pdb     -408.664322 kBT
3f30X_M125.pdb     -410.486038 kBT
3f30X_M347.pdb     -445.482114 kBT
3f30X_M414.pdb     -400.636759 kBT
3f30X_M108.pdb     -413.902495 kBT
3f30X_M42.pdb     -464.994959 kBT
3f30X_M407.pdb     -372.416404 kBT
3f30X_M162.pdb     -404.305368 kBT
3f30X_M161.pdb     -428.290710 kBT
3f30X_M325.pdb     -396.681495 kBT
3f30X_M324.pdb     -404.003619 kBT
3f30X_M41.pdb     -423.133045 kBT
3f30X_M456.pdb     -411.683886 kBT
3f30X_M116.pdb     -469.974705 kBT
3f30X_M185.pdb     -432.146756 kBT
3f30X_M332.pdb     -418.528032 kBT
3f30X_M129.pdb     -420.788426 kBT
3f30X_M355.pdb     -393.069079 kBT
3f30X_M296.pdb     -400.018579 kBT
3f30X_M239.pdb     -445.502771 kBT
3f30X_M285.pdb     -394.937967 kBT
3f30X_M445.pdb     -367.600726 kBT
3f30X_M117.pdb     -410.591716 kBT
3f30X_M304.pdb     -434.008804 kBT
3f30X_M256.pdb     -399.882820 kBT
3f30X_M234.pdb     -412.435495 kBT
3f30X_M202.pdb     -447.287572 kBT
3f30X_M76.pdb     -448.274015 kBT
3f30X_M307.pdb     -392.608507 kBT
3f30X_M66.pdb     -445.421176 kBT
3f30X_M144.pdb     -439.675312 kBT
3f30X_M110.pdb     -430.341873 kBT
3f30X_M44.pdb     -463.449439 kBT
3f30X_M63.pdb     -466.213884 kBT
3f30X_M92.pdb     -444.868411 kBT
3f30X_M189.pdb     -405.791727 kBT
3f30X_M13.pdb     -502.801357 kBT
3f30X_M10.pdb     -473.780930 kBT
3f30X_M48.pdb     -454.804231 kBT
3f30X_M480.pdb     -374.822326 kBT
3f30X_M282.pdb     -423.402234 kBT
3f30X_M231.pdb     -444.374930 kBT
3f30X_M266.pdb     -403.990344 kBT
3f30X_M293.pdb     -400.745677 kBT
3f30X_M212.pdb     -390.462314 kBT
3f30X_M292.pdb     -416.345155 kBT
3f30X_M396.pdb     -381.441390 kBT
3f30X_M247.pdb     -424.890714 kBT
3f30X_M465.pdb     -412.945922 kBT
3f30X_M46.pdb     -446.300800 kBT
3f30X_M64.pdb     -454.021974 kBT
3f30X_M119.pdb     -394.817500 kBT
3f30X_M401.pdb     -403.113236 kBT
3f30X_M275.pdb     -411.014354 kBT
3f30X_M357.pdb     -404.168972 kBT
3f30X_M300.pdb     -430.499296 kBT
3f30X_M431.pdb     -423.451062 kBT
3f30X_M382.pdb     -359.494042 kBT
3f30X_M190.pdb     -428.123318 kBT
3f30X_M274.pdb     -396.293420 kBT
3f30X_M318.pdb     -419.695827 kBT
3f30X_M181.pdb     -415.514454 kBT
3f30X_M372.pdb     -407.982142 kBT
3f30X_M87.pdb     -455.322804 kBT
3f30X_M496.pdb     -420.209659 kBT
3f30X_M262.pdb     -409.716180 kBT
3f30X_M226.pdb     -416.930905 kBT
3f30X_M389.pdb     -446.449806 kBT
3f30X_M71.pdb     -445.485017 kBT
3f30X_M497.pdb     -409.286816 kBT
3f30X_M348.pdb     -384.339421 kBT
3f30X_M402.pdb     -407.139479 kBT
3f30X_M500.pdb     -402.960896 kBT
3f30X_M77.pdb     -451.982160 kBT
3f30X_M268.pdb     -412.964317 kBT
3f30X_M418.pdb     -408.676600 kBT
3f30X_M224.pdb     -455.727323 kBT
3f30X_M142.pdb     -399.807936 kBT
3f30X_M3.pdb     -474.210747 kBT
3f30X_M428.pdb     -437.680741 kBT
3f30X_M288.pdb     -427.654400 kBT
3f30X_M69.pdb     -419.327399 kBT
3f30X_M315.pdb     -422.697860 kBT
3f30X_M18.pdb     -473.331951 kBT
3f30X_M460.pdb     -401.796928 kBT
3f30X_M489.pdb     -382.649090 kBT
3f30X_M237.pdb     -443.034893 kBT
3f30X_M251.pdb     -422.504374 kBT
3f30X_M255.pdb     -423.134493 kBT
3f30X_M230.pdb     -445.932045 kBT
3f30X_M98.pdb     -458.175389 kBT
3f30X_M478.pdb     -367.005205 kBT
3f30X_M417.pdb     -399.788990 kBT
3f30X_M280.pdb     -392.487375 kBT
3f30X_M72.pdb     -463.514639 kBT
3f30X_M208.pdb     -403.189341 kBT
3f30X_M399.pdb     -396.988941 kBT
3f30X_M61.pdb     -448.315366 kBT
3f30X_M435.pdb     -407.410063 kBT
3f30X_M83.pdb     -444.101904 kBT
3f30X_M122.pdb     -383.086907 kBT
3f30X_M499.pdb     -418.236685 kBT
3f30X_M244.pdb     -431.444810 kBT
3f30X_M485.pdb     -396.366094 kBT
3f30X_M303.pdb     -422.738552 kBT
3f30X_M330.pdb     -424.133375 kBT
3f30X_M74.pdb     -432.339279 kBT
3f30X_M461.pdb     -385.053774 kBT
3f30X_M349.pdb     -392.450490 kBT
3f30X_M323.pdb     -448.145421 kBT
3f30X_M94.pdb     -433.808013 kBT
3f30X_M424.pdb     -438.455622 kBT
3f30X_M309.pdb     -420.223189 kBT
3f30X_M34.pdb     -474.190088 kBT
3f30X_M284.pdb     -418.754656 kBT
3f30X_M470.pdb     -436.046543 kBT
3f30X_M163.pdb     -445.348524 kBT
3f30X_M232.pdb     -385.760978 kBT
3f30X_M371.pdb     -413.524485 kBT
3f30X_M188.pdb     -411.745386 kBT
3f30X_M345.pdb     -442.118170 kBT
3f30X_M166.pdb     -426.093445 kBT
3f30X_M138.pdb     -436.610137 kBT
3f30X_M367.pdb     -373.385031 kBT
3f30X_M366.pdb     -396.587868 kBT
3f30X_M463.pdb     -422.381675 kBT
3f30X_M384.pdb     -398.325307 kBT
3f30X_M197.pdb     -450.295906 kBT
3f30X_M452.pdb     -418.834188 kBT
3f30X_M191.pdb     -420.966158 kBT
3f30X_M340.pdb     -413.181302 kBT
3f30X_M31.pdb     -467.699743 kBT
3f30X_M205.pdb     -423.613564 kBT
3f30X_M454.pdb     -407.779840 kBT
3f30X_M412.pdb     -416.892155 kBT
3f30X_M151.pdb     -448.658065 kBT
3f30X_M394.pdb     -390.372738 kBT
3f30X_M186.pdb     -359.321822 kBT
