3cpw9_M200.pdb     -1174.272231 kBT
3cpw9_M190.pdb     -1109.996366 kBT
3cpw9_M228.pdb     -1143.165021 kBT
3cpw9_M134.pdb     -1305.113550 kBT
3cpw9_M438.pdb     -1157.095595 kBT
3cpw9_M156.pdb     -1145.693915 kBT
3cpw9_M278.pdb     -1122.461236 kBT
3cpw9_M381.pdb     -1202.805468 kBT
3cpw9_M144.pdb     -1301.303795 kBT
3cpw9_M257.pdb     -1188.332544 kBT
3cpw9_M339.pdb     -1144.081769 kBT
3cpw9_M300.pdb     -1225.010400 kBT
3cpw9_M174.pdb     -1234.552167 kBT
3cpw9_M2.pdb     -1543.532545 kBT
3cpw9_M107.pdb     -1251.434529 kBT
3cpw9_M245.pdb     -1249.484089 kBT
3cpw9_M44.pdb     -1430.358815 kBT
3cpw9_M397.pdb     -1055.245459 kBT
3cpw9_M28.pdb     -1503.735664 kBT
3cpw9_M224.pdb     -1120.919684 kBT
3cpw9_M204.pdb     -1199.565667 kBT
3cpw9_M222.pdb     -1205.254619 kBT
3cpw9_M20.pdb     -1494.167574 kBT
3cpw9_M71.pdb     -1439.018334 kBT
3cpw9_M403.pdb     -1106.866061 kBT
3cpw9_M479.pdb     -1174.428979 kBT
3cpw9_M56.pdb     -1422.164253 kBT
3cpw9_M410.pdb     -1106.923256 kBT
3cpw9_M169.pdb     -1171.200491 kBT
3cpw9_M242.pdb     -1242.868288 kBT
3cpw9_M18.pdb     -1580.139702 kBT
3cpw9_M100.pdb     -1364.833593 kBT
3cpw9_M393.pdb     -1080.627928 kBT
3cpw9_M165.pdb     -1286.068633 kBT
3cpw9_M249.pdb     -1181.236359 kBT
3cpw9_M70.pdb     -1447.131356 kBT
3cpw9_M390.pdb     -1144.952578 kBT
3cpw9_M376.pdb     -1070.324008 kBT
3cpw9_M84.pdb     -1263.081985 kBT
3cpw9_M188.pdb     -1231.005273 kBT
3cpw9_M447.pdb     -1095.005199 kBT
3cpw9_M269.pdb     -1183.749336 kBT
3cpw9_M389.pdb     -1127.877794 kBT
3cpw9_M360.pdb     -1088.676950 kBT
3cpw9_M427.pdb     -1084.463992 kBT
3cpw9_M109.pdb     -1263.415234 kBT
3cpw9_M379.pdb     -1153.793727 kBT
3cpw9_M26.pdb     -1566.146407 kBT
3cpw9_M494.pdb     -1041.913138 kBT
3cpw9_M175.pdb     -1209.885494 kBT
3cpw9_M9.pdb     -1579.321400 kBT
3cpw9_M323.pdb     -1151.715897 kBT
3cpw9_M62.pdb     -1367.015526 kBT
3cpw9_M486.pdb     -1067.206681 kBT
3cpw9_M444.pdb     -1087.102634 kBT
3cpw9_M255.pdb     -1228.304496 kBT
3cpw9_M450.pdb     -1077.276009 kBT
3cpw9_M143.pdb     -1270.203497 kBT
3cpw9_M63.pdb     -1384.470927 kBT
3cpw9_M167.pdb     -1225.176088 kBT
3cpw9_M304.pdb     -1172.323220 kBT
3cpw9_M171.pdb     -1265.562844 kBT
