1mfqA_M446.pdb     -350.214489 kBT
1mfqA_M73.pdb     -401.968858 kBT
1mfqA_M359.pdb     -319.354534 kBT
1mfqA_M20.pdb     -434.508273 kBT
1mfqA_M69.pdb     -406.624154 kBT
1mfqA_M113.pdb     -390.634785 kBT
1mfqA_M248.pdb     -318.512578 kBT
1mfqA_M459.pdb     -341.709759 kBT
1mfqA_M269.pdb     -392.621296 kBT
1mfqA_M390.pdb     -316.987529 kBT
1mfqA_M400.pdb     -344.162558 kBT
1mfqA_M290.pdb     -348.633392 kBT
1mfqA_M68.pdb     -408.087568 kBT
1mfqA_M104.pdb     -382.901242 kBT
1mfqA_M304.pdb     -349.193311 kBT
1mfqA_M388.pdb     -395.805593 kBT
1mfqA_M431.pdb     -362.753475 kBT
1mfqA_M94.pdb     -406.892921 kBT
1mfqA_M211.pdb     -350.533792 kBT
1mfqA_M35.pdb     -426.816808 kBT
1mfqA_M311.pdb     -341.280370 kBT
1mfqA_M111.pdb     -381.834870 kBT
1mfqA_M37.pdb     -424.513655 kBT
1mfqA_M265.pdb     -348.285916 kBT
1mfqA_M221.pdb     -347.503183 kBT
1mfqA_M109.pdb     -395.677539 kBT
1mfqA_M162.pdb     -390.356558 kBT
1mfqA_M100.pdb     -417.152309 kBT
1mfqA_M320.pdb     -338.950462 kBT
1mfqA_M398.pdb     -346.112785 kBT
1mfqA_M356.pdb     -362.321388 kBT
1mfqA_M258.pdb     -368.343358 kBT
1mfqA_M420.pdb     -343.600721 kBT
1mfqA_M148.pdb     -392.100934 kBT
1mfqA_M262.pdb     -367.427853 kBT
1mfqA_M367.pdb     -351.208071 kBT
1mfqA_M357.pdb     -316.252400 kBT
1mfqA_M342.pdb     -377.216703 kBT
1mfqA_M98.pdb     -379.498262 kBT
1mfqA_M57.pdb     -395.108450 kBT
1mfqA_M136.pdb     -330.955403 kBT
1mfqA_M79.pdb     -372.782180 kBT
1mfqA_M479.pdb     -323.944869 kBT
1mfqA_M205.pdb     -365.385584 kBT
1mfqA_M96.pdb     -394.469644 kBT
1mfqA_M49.pdb     -407.624449 kBT
1mfqA_M127.pdb     -355.470151 kBT
1mfqA_M340.pdb     -335.675742 kBT
1mfqA_M107.pdb     -371.820832 kBT
1mfqA_M422.pdb     -331.360502 kBT
1mfqA_M128.pdb     -382.929386 kBT
1mfqA_M387.pdb     -325.621543 kBT
1mfqA_M377.pdb     -346.410163 kBT
1mfqA_M102.pdb     -417.239682 kBT
1mfqA_M296.pdb     -355.993699 kBT
1mfqA_M216.pdb     -410.113022 kBT
1mfqA_M178.pdb     -368.256155 kBT
1mfqA_M253.pdb     -396.345511 kBT
1mfqA_M263.pdb     -344.985162 kBT
1mfqA_M321.pdb     -348.067084 kBT
1mfqA_M490.pdb     -360.983793 kBT
1mfqA_M16.pdb     -427.936472 kBT
1mfqA_M435.pdb     -328.584286 kBT
1mfqA_M200.pdb     -372.860362 kBT
1mfqA_M473.pdb     -308.222382 kBT
1mfqA_M87.pdb     -410.929409 kBT
1mfqA_M443.pdb     -334.954974 kBT
1mfqA_M276.pdb     -359.009922 kBT
1mfqA_M234.pdb     -372.722548 kBT
1mfqA_M149.pdb     -377.312256 kBT
1mfqA_M442.pdb     -340.903749 kBT
1mfqA_M369.pdb     -343.134072 kBT
1mfqA_M384.pdb     -312.334207 kBT
1mfqA_M183.pdb     -365.126907 kBT
1mfqA_M415.pdb     -315.334342 kBT
1mfqA_M299.pdb     -344.127324 kBT
1mfqA_M52.pdb     -380.879517 kBT
1mfqA_M244.pdb     -342.059880 kBT
