2dlcY_M295.pdb     -218.019987 kBT
2dlcY_M389.pdb     -182.297256 kBT
2dlcY_M461.pdb     -192.130024 kBT
2dlcY_M335.pdb     -184.083627 kBT
2dlcY_M174.pdb     -220.105048 kBT
2dlcY_M243.pdb     -214.492300 kBT
2dlcY_M307.pdb     -214.434892 kBT
2dlcY_M395.pdb     -207.937417 kBT
2dlcY_M314.pdb     -187.461087 kBT
2dlcY_M215.pdb     -209.966359 kBT
2dlcY_M109.pdb     -226.127110 kBT
2dlcY_M216.pdb     -202.672767 kBT
2dlcY_M372.pdb     -194.180611 kBT
2dlcY_M133.pdb     -217.902506 kBT
2dlcY_M231.pdb     -219.376544 kBT
2dlcY_M218.pdb     -209.849030 kBT
2dlcY_M439.pdb     -214.106180 kBT
2dlcY_M87.pdb     -209.040908 kBT
2dlcY_M140.pdb     -213.932100 kBT
2dlcY_M208.pdb     -220.548391 kBT
2dlcY_M79.pdb     -216.214561 kBT
2dlcY_M384.pdb     -187.926669 kBT
2dlcY_M278.pdb     -203.934229 kBT
2dlcY_M339.pdb     -198.632355 kBT
2dlcY_M408.pdb     -191.728363 kBT
2dlcY_M86.pdb     -217.226235 kBT
2dlcY_M446.pdb     -202.176078 kBT
2dlcY_M190.pdb     -221.235924 kBT
2dlcY_M106.pdb     -214.560451 kBT
2dlcY_M177.pdb     -222.621158 kBT
2dlcY_M301.pdb     -204.833905 kBT
2dlcY_M412.pdb     -196.703361 kBT
2dlcY_M77.pdb     -218.241723 kBT
2dlcY_M374.pdb     -187.694996 kBT
2dlcY_M424.pdb     -192.726191 kBT
2dlcY_M38.pdb     -225.165286 kBT
2dlcY_M96.pdb     -218.526207 kBT
2dlcY_M386.pdb     -198.507108 kBT
2dlcY_M117.pdb     -201.665857 kBT
2dlcY_M137.pdb     -213.845436 kBT
2dlcY_M431.pdb     -215.956110 kBT
2dlcY_M341.pdb     -204.347162 kBT
2dlcY_M360.pdb     -202.984075 kBT
2dlcY_M254.pdb     -210.950089 kBT
2dlcY_M293.pdb     -197.062848 kBT
2dlcY_M214.pdb     -199.594827 kBT
2dlcY_M429.pdb     -170.089555 kBT
2dlcY_M184.pdb     -216.847304 kBT
2dlcY_M440.pdb     -200.469213 kBT
2dlcY_M145.pdb     -216.393432 kBT
2dlcY_M248.pdb     -207.842078 kBT
2dlcY_M198.pdb     -193.206839 kBT
2dlcY_M449.pdb     -194.045646 kBT
2dlcY_M290.pdb     -205.961614 kBT
2dlcY_M11.pdb     -242.326946 kBT
2dlcY_M405.pdb     -206.807205 kBT
2dlcY_M347.pdb     -200.129838 kBT
2dlcY_M71.pdb     -214.788246 kBT
2dlcY_M179.pdb     -207.068615 kBT
2dlcY_M292.pdb     -212.642823 kBT
2dlcY_M437.pdb     -197.142604 kBT
2dlcY_M351.pdb     -210.539318 kBT
2dlcY_M167.pdb     -196.927792 kBT
2dlcY_M222.pdb     -217.231857 kBT
2dlcY_M29.pdb     -230.738123 kBT
2dlcY_M7.pdb     -238.546068 kBT
2dlcY_M99.pdb     -215.703436 kBT
2dlcY_M321.pdb     -209.853399 kBT
2dlcY_M477.pdb     -216.975085 kBT
2dlcY_M83.pdb     -213.507306 kBT
2dlcY_M135.pdb     -223.906653 kBT
2dlcY_M379.pdb     -206.814250 kBT
2dlcY_M423.pdb     -190.086383 kBT
2dlcY_M485.pdb     -174.608167 kBT
2dlcY_M181.pdb     -214.410352 kBT
2dlcY_M169.pdb     -203.466938 kBT
2dlcY_M253.pdb     -228.283554 kBT
2dlcY_M227.pdb     -203.397833 kBT
2dlcY_M126.pdb     -211.150929 kBT
2dlcY_M481.pdb     -214.138806 kBT
2dlcY_M8.pdb     -229.516550 kBT
2dlcY_M353.pdb     -175.694213 kBT
2dlcY_M206.pdb     -196.730329 kBT
2dlcY_M464.pdb     -182.860917 kBT
2dlcY_M441.pdb     -179.541635 kBT
2dlcY_M107.pdb     -208.811897 kBT
2dlcY_M288.pdb     -193.973283 kBT
2dlcY_M460.pdb     -198.605390 kBT
2dlcY_M14.pdb     -234.896525 kBT
2dlcY_M156.pdb     -197.724562 kBT
2dlcY_M213.pdb     -205.112565 kBT
2dlcY_M275.pdb     -205.589054 kBT
2dlcY_M443.pdb     -166.378145 kBT
2dlcY_M42.pdb     -222.825539 kBT
2dlcY_M342.pdb     -219.673303 kBT
2dlcY_M486.pdb     -190.019264 kBT
2dlcY_M397.pdb     -202.361111 kBT
2dlcY_M425.pdb     -201.307569 kBT
2dlcY_M382.pdb     -189.208560 kBT
2dlcY_M497.pdb     -210.410039 kBT
2dlcY_M364.pdb     -188.154567 kBT
2dlcY_M349.pdb     -218.823596 kBT
2dlcY_M492.pdb     -195.362763 kBT
2dlcY_M53.pdb     -217.309534 kBT
2dlcY_M245.pdb     -206.487063 kBT
2dlcY_M129.pdb     -210.086605 kBT
