2dr2B_M381.pdb     -826.739235 kBT
2dr2B_M478.pdb     -817.494471 kBT
2dr2B_M112.pdb     -1011.608989 kBT
2dr2B_M305.pdb     -848.731194 kBT
2dr2B_M325.pdb     -838.338623 kBT
2dr2B_M102.pdb     -960.851405 kBT
2dr2B_M343.pdb     -741.974617 kBT
2dr2B_M40.pdb     -967.309423 kBT
2dr2B_M224.pdb     -874.991791 kBT
2dr2B_M356.pdb     -779.922186 kBT
2dr2B_M333.pdb     -739.846588 kBT
2dr2B_M400.pdb     -848.301468 kBT
2dr2B_M48.pdb     -1045.744713 kBT
2dr2B_M163.pdb     -879.240112 kBT
2dr2B_M16.pdb     -1058.024627 kBT
2dr2B_M85.pdb     -939.153800 kBT
2dr2B_M385.pdb     -820.446169 kBT
2dr2B_M276.pdb     -799.666004 kBT
2dr2B_M246.pdb     -828.541131 kBT
2dr2B_M363.pdb     -883.292904 kBT
2dr2B_M465.pdb     -903.334431 kBT
2dr2B_M68.pdb     -1016.168036 kBT
2dr2B_M474.pdb     -709.280844 kBT
2dr2B_M458.pdb     -794.775397 kBT
2dr2B_M373.pdb     -787.904713 kBT
2dr2B_M168.pdb     -903.170960 kBT
2dr2B_M330.pdb     -838.635935 kBT
2dr2B_M272.pdb     -759.993374 kBT
2dr2B_M192.pdb     -935.976255 kBT
2dr2B_M447.pdb     -745.219886 kBT
2dr2B_M97.pdb     -951.443558 kBT
2dr2B_M317.pdb     -834.704526 kBT
2dr2B_M167.pdb     -924.222952 kBT
2dr2B_M268.pdb     -872.523847 kBT
2dr2B_M484.pdb     -774.572503 kBT
2dr2B_M379.pdb     -786.657653 kBT
2dr2B_M252.pdb     -929.174253 kBT
2dr2B_M170.pdb     -919.365416 kBT
2dr2B_M334.pdb     -818.478781 kBT
2dr2B_M449.pdb     -843.462092 kBT
2dr2B_M281.pdb     -831.578785 kBT
2dr2B_M327.pdb     -845.451817 kBT
2dr2B.pdb     -1068.377052 kBT
2dr2B_M4.pdb     -1091.345459 kBT
2dr2B_M263.pdb     -873.907930 kBT
2dr2B_M344.pdb     -888.928792 kBT
2dr2B_M231.pdb     -904.878264 kBT
2dr2B_M51.pdb     -971.169580 kBT
2dr2B_M77.pdb     -936.621870 kBT
2dr2B_M67.pdb     -979.548152 kBT
2dr2B_M23.pdb     -1014.105069 kBT
2dr2B_M452.pdb     -809.419529 kBT
2dr2B_M402.pdb     -780.884631 kBT
2dr2B_M500.pdb     -795.265414 kBT
2dr2B_M319.pdb     -820.098508 kBT
2dr2B_M144.pdb     -875.939511 kBT
2dr2B_M410.pdb     -872.533906 kBT
2dr2B_M149.pdb     -956.574648 kBT
2dr2B_M433.pdb     -863.962720 kBT
2dr2B_M103.pdb     -979.265639 kBT
2dr2B_M223.pdb     -850.655722 kBT
2dr2B_M233.pdb     -869.557347 kBT
2dr2B_M283.pdb     -883.960968 kBT
2dr2B_M459.pdb     -765.208047 kBT
2dr2B_M9.pdb     -1095.226365 kBT
2dr2B_M347.pdb     -851.974663 kBT
2dr2B_M218.pdb     -861.105612 kBT
2dr2B_M338.pdb     -703.737651 kBT
