2qwyC_M466.pdb     -681.201439 kBT
2qwyC_M237.pdb     -647.614243 kBT
2qwyC_M14.pdb     -866.400122 kBT
2qwyC_M456.pdb     -696.287598 kBT
2qwyC_M79.pdb     -755.979724 kBT
2qwyC_M312.pdb     -650.186123 kBT
2qwyC_M416.pdb     -740.197216 kBT
2qwyC_M207.pdb     -678.096702 kBT
2qwyC_M124.pdb     -701.890390 kBT
2qwyC_M183.pdb     -723.621337 kBT
2qwyC_M430.pdb     -678.885470 kBT
2qwyC_M315.pdb     -634.532635 kBT
2qwyC_M403.pdb     -692.105454 kBT
2qwyC_M226.pdb     -695.710951 kBT
2qwyC_M219.pdb     -717.310736 kBT
2qwyC_M19.pdb     -803.625828 kBT
2qwyC_M75.pdb     -720.687388 kBT
2qwyC_M77.pdb     -784.442272 kBT
2qwyC_M241.pdb     -692.505516 kBT
2qwyC_M391.pdb     -689.228636 kBT
2qwyC_M409.pdb     -679.245216 kBT
2qwyC_M417.pdb     -642.988135 kBT
2qwyC_M170.pdb     -731.578806 kBT
2qwyC_M238.pdb     -710.952750 kBT
2qwyC_M198.pdb     -720.713244 kBT
2qwyC_M45.pdb     -772.017662 kBT
2qwyC_M425.pdb     -639.467125 kBT
2qwyC_M369.pdb     -686.762854 kBT
2qwyC_M39.pdb     -733.129533 kBT
2qwyC_M85.pdb     -761.970223 kBT
2qwyC_M379.pdb     -653.294284 kBT
2qwyC_M437.pdb     -695.543379 kBT
2qwyC_M90.pdb     -776.867839 kBT
2qwyC_M443.pdb     -676.550216 kBT
2qwyC_M76.pdb     -744.503480 kBT
2qwyC_M377.pdb     -666.048628 kBT
2qwyC_M426.pdb     -727.775278 kBT
2qwyC_M178.pdb     -809.957208 kBT
2qwyC_M273.pdb     -693.863665 kBT
2qwyC_M5.pdb     -869.764280 kBT
2qwyC_M493.pdb     -638.016721 kBT
2qwyC_M141.pdb     -720.396840 kBT
2qwyC_M494.pdb     -729.448722 kBT
2qwyC_M146.pdb     -705.396902 kBT
2qwyC_M264.pdb     -674.771468 kBT
2qwyC_M422.pdb     -637.365613 kBT
2qwyC_M302.pdb     -726.659063 kBT
2qwyC_M22.pdb     -860.230028 kBT
2qwyC_M404.pdb     -704.906703 kBT
2qwyC_M445.pdb     -757.794693 kBT
2qwyC_M446.pdb     -678.888927 kBT
2qwyC_M134.pdb     -739.986574 kBT
2qwyC_M295.pdb     -606.012516 kBT
2qwyC_M500.pdb     -662.130051 kBT
2qwyC_M458.pdb     -647.376520 kBT
2qwyC_M133.pdb     -741.085607 kBT
2qwyC_M140.pdb     -760.563590 kBT
2qwyC_M414.pdb     -616.869843 kBT
2qwyC_M349.pdb     -697.300644 kBT
2qwyC_M174.pdb     -731.082936 kBT
2qwyC_M442.pdb     -669.622761 kBT
2qwyC_M288.pdb     -739.563250 kBT
2qwyC_M86.pdb     -747.739297 kBT
2qwyC_M73.pdb     -729.114726 kBT
2qwyC_M57.pdb     -781.862073 kBT
2qwyC_M93.pdb     -736.688674 kBT
2qwyC_M121.pdb     -724.376287 kBT
2qwyC_M70.pdb     -744.486144 kBT
2qwyC_M453.pdb     -710.113450 kBT
2qwyC_M41.pdb     -817.867489 kBT
2qwyC_M325.pdb     -717.317402 kBT
2qwyC_M372.pdb     -610.140717 kBT
2qwyC_M163.pdb     -772.333866 kBT
2qwyC_M299.pdb     -663.130139 kBT
2qwyC_M245.pdb     -683.331422 kBT
2qwyC_M247.pdb     -685.062889 kBT
2qwyC_M407.pdb     -646.278498 kBT
2qwyC_M67.pdb     -783.597222 kBT
2qwyC_M343.pdb     -746.942468 kBT
2qwyC_M155.pdb     -740.135590 kBT
2qwyC_M418.pdb     -644.771208 kBT
2qwyC_M1.pdb     -859.436448 kBT
2qwyC_M387.pdb     -651.331939 kBT
2qwyC_M110.pdb     -623.480874 kBT
2qwyC_M230.pdb     -687.241902 kBT
2qwyC_M189.pdb     -746.875433 kBT
2qwyC_M244.pdb     -675.064376 kBT
2qwyC_M283.pdb     -688.846202 kBT
2qwyC_M88.pdb     -754.573338 kBT
2qwyC_M161.pdb     -736.817293 kBT
2qwyC_M498.pdb     -693.164821 kBT
2qwyC_M306.pdb     -678.297000 kBT
2qwyC_M147.pdb     -710.228246 kBT
2qwyC_M158.pdb     -787.488216 kBT
2qwyC_M24.pdb     -764.184965 kBT
2qwyC_M254.pdb     -737.137618 kBT
2qwyC_M108.pdb     -774.199641 kBT
2qwyC_M112.pdb     -718.729226 kBT
2qwyC_M305.pdb     -645.997664 kBT
2qwyC_M103.pdb     -750.562462 kBT
2qwyC_M408.pdb     -647.580649 kBT
2qwyC_M111.pdb     -781.276870 kBT
2qwyC_M495.pdb     -624.813111 kBT
2qwyC_M148.pdb     -781.747621 kBT
2qwyC_M126.pdb     -703.442085 kBT
2qwyC_M378.pdb     -650.458456 kBT
2qwyC_M4.pdb     -847.376661 kBT
2qwyC_M46.pdb     -801.086533 kBT
2qwyC_M475.pdb     -677.485194 kBT
2qwyC_M380.pdb     -618.565087 kBT
2qwyC_M347.pdb     -728.004402 kBT
2qwyC_M382.pdb     -693.091462 kBT
2qwyC_M251.pdb     -643.136768 kBT
2qwyC_M485.pdb     -718.781569 kBT
2qwyC_M280.pdb     -718.395692 kBT
2qwyC_M392.pdb     -678.515090 kBT
2qwyC_M235.pdb     -694.857735 kBT
2qwyC_M318.pdb     -744.645638 kBT
2qwyC_M427.pdb     -736.610236 kBT
2qwyC_M156.pdb     -712.879200 kBT
2qwyC_M220.pdb     -718.992612 kBT
2qwyC_M232.pdb     -675.750665 kBT
2qwyC_M252.pdb     -697.344100 kBT
2qwyC_M52.pdb     -811.139145 kBT
2qwyC_M370.pdb     -712.089575 kBT
2qwyC_M411.pdb     -686.710616 kBT
2qwyC_M54.pdb     -745.214522 kBT
2qwyC_M449.pdb     -714.502444 kBT
2qwyC_M381.pdb     -663.439568 kBT
2qwyC_M225.pdb     -762.666343 kBT
2qwyC_M452.pdb     -679.665061 kBT
2qwyC_M489.pdb     -619.374224 kBT
2qwyC_M296.pdb     -736.879888 kBT
2qwyC_M159.pdb     -713.092268 kBT
2qwyC_M43.pdb     -775.608918 kBT
2qwyC_M386.pdb     -658.926939 kBT
2qwyC_M246.pdb     -649.015284 kBT
2qwyC_M467.pdb     -629.620429 kBT
2qwyC_M260.pdb     -670.452819 kBT
2qwyC_M13.pdb     -863.811646 kBT
2qwyC_M351.pdb     -679.789320 kBT
2qwyC_M131.pdb     -705.106328 kBT
2qwyC_M496.pdb     -717.194509 kBT
2qwyC_M135.pdb     -714.710910 kBT
2qwyC_M44.pdb     -772.700640 kBT
2qwyC_M337.pdb     -633.556733 kBT
2qwyC_M316.pdb     -673.332477 kBT
2qwyC_M270.pdb     -707.092711 kBT
2qwyC_M292.pdb     -685.286872 kBT
2qwyC_M82.pdb     -726.363883 kBT
2qwyC_M175.pdb     -655.941823 kBT
2qwyC_M187.pdb     -689.368060 kBT
2qwyC_M100.pdb     -683.117237 kBT
2qwyC_M66.pdb     -738.266152 kBT
2qwyC_M201.pdb     -777.415839 kBT
2qwyC_M419.pdb     -692.620449 kBT
2qwyC_M102.pdb     -676.041449 kBT
2qwyC_M482.pdb     -600.458401 kBT
2qwyC_M345.pdb     -633.716452 kBT
2qwyC_M469.pdb     -660.789422 kBT
2qwyC_M26.pdb     -823.926988 kBT
2qwyC_M365.pdb     -696.747431 kBT
2qwyC_M127.pdb     -781.585446 kBT
2qwyC_M480.pdb     -641.231474 kBT
2qwyC_M180.pdb     -728.077676 kBT
2qwyC_M157.pdb     -678.905182 kBT
2qwyC_M471.pdb     -696.059246 kBT
2qwyC_M31.pdb     -825.656508 kBT
2qwyC_M459.pdb     -562.775486 kBT
2qwyC_M383.pdb     -634.035331 kBT
2qwyC_M258.pdb     -723.269225 kBT
2qwyC_M106.pdb     -783.164157 kBT
2qwyC_M374.pdb     -669.209649 kBT
2qwyC_M56.pdb     -699.194810 kBT
2qwyC_M216.pdb     -751.435705 kBT
2qwyC_M300.pdb     -677.987607 kBT
2qwyC_M344.pdb     -710.549031 kBT
2qwyC_M65.pdb     -737.886190 kBT
2qwyC_M320.pdb     -721.890068 kBT
2qwyC_M218.pdb     -649.451222 kBT
2qwyC_M34.pdb     -821.203114 kBT
2qwyC_M249.pdb     -678.858974 kBT
2qwyC_M451.pdb     -713.522421 kBT
2qwyC_M63.pdb     -772.360075 kBT
2qwyC_M327.pdb     -727.678121 kBT
2qwyC_M474.pdb     -704.625165 kBT
2qwyC_M304.pdb     -727.970121 kBT
2qwyC_M68.pdb     -720.222257 kBT
2qwyC_M444.pdb     -624.308546 kBT
2qwyC_M284.pdb     -668.475573 kBT
2qwyC_M206.pdb     -684.959727 kBT
2qwyC_M274.pdb     -690.081626 kBT
2qwyC_M394.pdb     -707.957046 kBT
2qwyC_M47.pdb     -782.921212 kBT
2qwyC_M488.pdb     -680.985248 kBT
2qwyC_M166.pdb     -708.952674 kBT
2qwyC_M393.pdb     -665.392741 kBT
2qwyC_M83.pdb     -700.125366 kBT
2qwyC_M119.pdb     -689.222351 kBT
2qwyC_M9.pdb     -843.010098 kBT
2qwyC_M20.pdb     -850.195306 kBT
2qwyC_M441.pdb     -692.720442 kBT
2qwyC_M200.pdb     -703.816487 kBT
2qwyC_M483.pdb     -676.249022 kBT
2qwyC_M432.pdb     -668.940544 kBT
2qwyC_M319.pdb     -659.732179 kBT
2qwyC_M125.pdb     -735.834694 kBT
2qwyC_M172.pdb     -762.705621 kBT
2qwyC_M303.pdb     -632.078056 kBT
2qwyC_M333.pdb     -768.654324 kBT
2qwyC_M149.pdb     -735.372620 kBT
2qwyC_M138.pdb     -687.879108 kBT
2qwyC_M128.pdb     -676.899902 kBT
2qwyC_M256.pdb     -709.679989 kBT
2qwyC_M350.pdb     -661.833434 kBT
2qwyC_M236.pdb     -732.810260 kBT
2qwyC_M413.pdb     -679.724432 kBT
2qwyC_M193.pdb     -718.728379 kBT
2qwyC_M457.pdb     -692.927413 kBT
2qwyC_M81.pdb     -716.666050 kBT
2qwyC_M293.pdb     -644.024274 kBT
2qwyC_M433.pdb     -702.172047 kBT
2qwyC_M53.pdb     -780.717577 kBT
2qwyC_M151.pdb     -719.810294 kBT
2qwyC_M213.pdb     -680.373289 kBT
