1s03B_M257.pdb     -148.602206 kBT
1s03B_M382.pdb     -165.213209 kBT
1s03B_M172.pdb     -174.849795 kBT
1s03B_M480.pdb     -156.783386 kBT
1s03B_M28.pdb     -205.678797 kBT
1s03B_M161.pdb     -165.298615 kBT
1s03B_M18.pdb     -206.118687 kBT
1s03B_M281.pdb     -169.982533 kBT
1s03B_M305.pdb     -151.045685 kBT
1s03B_M275.pdb     -181.796638 kBT
1s03B_M23.pdb     -202.924114 kBT
1s03B_M440.pdb     -149.269204 kBT
1s03B_M32.pdb     -222.732382 kBT
1s03B_M1.pdb     -222.630766 kBT
1s03B_M443.pdb     -158.913456 kBT
1s03B_M107.pdb     -192.748368 kBT
1s03B_M254.pdb     -163.016362 kBT
1s03B_M49.pdb     -205.693393 kBT
1s03B_M428.pdb     -155.068424 kBT
1s03B_M157.pdb     -170.326017 kBT
1s03B_M316.pdb     -151.470495 kBT
1s03B_M400.pdb     -99.427747 kBT
1s03B_M308.pdb     -155.241140 kBT
1s03B_M12.pdb     -215.608829 kBT
1s03B_M500.pdb     -157.838370 kBT
1s03B_M294.pdb     -150.130957 kBT
1s03B_M460.pdb     -107.167274 kBT
1s03B_M180.pdb     -184.884881 kBT
1s03B_M64.pdb     -189.616435 kBT
1s03B_M358.pdb     -158.499669 kBT
1s03B_M301.pdb     -125.903656 kBT
1s03B_M218.pdb     -159.136448 kBT
1s03B_M177.pdb     -169.866240 kBT
1s03B_M100.pdb     -188.513941 kBT
1s03B_M113.pdb     -201.711050 kBT
1s03B_M438.pdb     -126.203576 kBT
1s03B_M244.pdb     -152.356812 kBT
1s03B_M112.pdb     -175.242499 kBT
1s03B_M273.pdb     -158.943997 kBT
1s03B_M190.pdb     -185.860810 kBT
1s03B_M117.pdb     -166.659665 kBT
1s03B_M89.pdb     -186.285270 kBT
1s03B_M14.pdb     -221.096510 kBT
1s03B_M437.pdb     -154.109833 kBT
1s03B_M116.pdb     -185.458727 kBT
1s03B_M105.pdb     -181.273151 kBT
1s03B_M52.pdb     -190.564698 kBT
1s03B_M353.pdb     -149.882153 kBT
1s03B_M277.pdb     -134.720947 kBT
1s03B_M404.pdb     -169.337096 kBT
1s03B_M486.pdb     -142.123763 kBT
1s03B_M315.pdb     -147.310931 kBT
1s03B_M149.pdb     -153.302752 kBT
1s03B_M7.pdb     -220.561562 kBT
1s03B_M33.pdb     -193.645234 kBT
1s03B_M208.pdb     -179.892363 kBT
1s03B_M484.pdb     -158.431051 kBT
1s03B_M343.pdb     -152.822240 kBT
1s03B.pdb     -219.512963 kBT
1s03B_M493.pdb     -171.811611 kBT
1s03B_M101.pdb     -188.516944 kBT
1s03B_M188.pdb     -170.931445 kBT
1s03B_M474.pdb     -130.913852 kBT
1s03B_M317.pdb     -168.483736 kBT
1s03B_M476.pdb     -132.078319 kBT
1s03B_M228.pdb     -172.930425 kBT
1s03B_M134.pdb     -159.534317 kBT
1s03B_M334.pdb     -139.471143 kBT
1s03B_M231.pdb     -167.818436 kBT
1s03B_M339.pdb     -143.451065 kBT
1s03B_M268.pdb     -157.131538 kBT
1s03B_M8.pdb     -216.957642 kBT
1s03B_M237.pdb     -149.934045 kBT
1s03B_M201.pdb     -140.919055 kBT
1s03B_M197.pdb     -168.344468 kBT
1s03B_M448.pdb     -161.713947 kBT
1s03B_M140.pdb     -162.881449 kBT
1s03B_M74.pdb     -195.805040 kBT
1s03B_M127.pdb     -159.415608 kBT
1s03B_M396.pdb     -145.894199 kBT
1s03B_M336.pdb     -181.435495 kBT
1s03B_M371.pdb     -131.941797 kBT
1s03B_M148.pdb     -189.689368 kBT
1s03B_M386.pdb     -151.331342 kBT
1s03B_M455.pdb     -123.906786 kBT
1s03B_M287.pdb     -135.352128 kBT
1s03B_M132.pdb     -160.068611 kBT
