3gcaA_M473.pdb     -162.245340 kBT
3gcaA_M325.pdb     -145.446827 kBT
3gcaA_M66.pdb     -156.636074 kBT
3gcaA_M366.pdb     -165.602327 kBT
3gcaA_M199.pdb     -168.101049 kBT
3gcaA_M362.pdb     -159.800273 kBT
3gcaA_M426.pdb     -152.211376 kBT
3gcaA_M81.pdb     -173.624857 kBT
3gcaA_M421.pdb     -168.869166 kBT
3gcaA_M100.pdb     -168.950782 kBT
3gcaA_M173.pdb     -160.846483 kBT
3gcaA.pdb     -173.978361 kBT
3gcaA_M73.pdb     -164.484297 kBT
3gcaA_M367.pdb     -169.667346 kBT
3gcaA_M440.pdb     -139.966664 kBT
3gcaA_M415.pdb     -158.241535 kBT
3gcaA_M479.pdb     -156.591592 kBT
3gcaA_M373.pdb     -156.266954 kBT
3gcaA_M84.pdb     -176.703190 kBT
3gcaA_M321.pdb     -159.313130 kBT
3gcaA_M463.pdb     -145.651953 kBT
3gcaA_M99.pdb     -164.730458 kBT
3gcaA_M307.pdb     -164.542524 kBT
3gcaA_M17.pdb     -172.997166 kBT
3gcaA_M193.pdb     -164.834599 kBT
3gcaA_M78.pdb     -181.009603 kBT
3gcaA_M455.pdb     -151.296526 kBT
3gcaA_M222.pdb     -158.862183 kBT
3gcaA_M169.pdb     -180.583086 kBT
3gcaA_M354.pdb     -147.412061 kBT
3gcaA_M179.pdb     -159.189370 kBT
3gcaA_M300.pdb     -167.584165 kBT
3gcaA_M46.pdb     -177.156721 kBT
3gcaA_M19.pdb     -172.363615 kBT
3gcaA_M184.pdb     -157.996059 kBT
3gcaA_M363.pdb     -158.346524 kBT
3gcaA_M217.pdb     -152.962104 kBT
3gcaA_M3.pdb     -174.567470 kBT
3gcaA_M444.pdb     -149.359939 kBT
3gcaA_M104.pdb     -162.013703 kBT
3gcaA_M460.pdb     -143.041705 kBT
3gcaA_M320.pdb     -157.395439 kBT
3gcaA_M12.pdb     -168.760595 kBT
3gcaA_M417.pdb     -146.505753 kBT
3gcaA_M428.pdb     -147.240306 kBT
