3f1hA_M395.pdb     -17321.278414 kBT
3f1hA_M164.pdb     -18595.559989 kBT
3f1hA_M267.pdb     -17967.648874 kBT
3f1hA_M298.pdb     -17453.182361 kBT
3f1hA_M487.pdb     -17255.379750 kBT
3f1hA_M300.pdb     -18027.479431 kBT
3f1hA_M302.pdb     -17694.166045 kBT
3f1hA_M63.pdb     -19753.657806 kBT
3f1hA_M122.pdb     -18819.915978 kBT
3f1hA_M283.pdb     -17653.677551 kBT
3f1hA_M174.pdb     -18555.730816 kBT
3f1hA_M45.pdb     -20158.492593 kBT
3f1hA_M222.pdb     -17878.174790 kBT
3f1hA_M259.pdb     -17760.504445 kBT
3f1hA_M353.pdb     -17265.833705 kBT
3f1hA_M190.pdb     -18249.702492 kBT
3f1hA_M139.pdb     -18665.742853 kBT
3f1hA_M460.pdb     -17349.633446 kBT
3f1hA_M82.pdb     -19517.590418 kBT
3f1hA_M183.pdb     -18181.853813 kBT
3f1hA_M145.pdb     -18674.892397 kBT
3f1hA_M156.pdb     -18403.051680 kBT
3f1hA_M500.pdb     -17035.727179 kBT
3f1hA_M308.pdb     -17793.548579 kBT
3f1hA_M291.pdb     -17477.546553 kBT
3f1hA_M202.pdb     -18224.712842 kBT
3f1hA_M229.pdb     -18020.272836 kBT
3f1hA_M10.pdb     -21691.986583 kBT
3f1hA_M377.pdb     -17403.504850 kBT
3f1hA_M299.pdb     -17770.602665 kBT
3f1hA_M42.pdb     -20377.342718 kBT
3f1hA_M157.pdb     -18148.800113 kBT
3f1hA_M38.pdb     -20832.926136 kBT
3f1hA_M312.pdb     -17653.971470 kBT
3f1hA_M149.pdb     -18552.940185 kBT
3f1hA_M257.pdb     -17797.818693 kBT
3f1hA_M375.pdb     -17824.644963 kBT
3f1hA_M179.pdb     -18055.807604 kBT
3f1hA_M371.pdb     -17313.129128 kBT
3f1hA_M95.pdb     -19269.151694 kBT
3f1hA_M396.pdb     -17398.808763 kBT
3f1hA_M158.pdb     -18578.060390 kBT
3f1hA_M432.pdb     -17346.578220 kBT
3f1hA_M313.pdb     -17720.982223 kBT
3f1hA_M441.pdb     -17272.893903 kBT
3f1hA_M403.pdb     -17459.007561 kBT
3f1hA_M71.pdb     -19582.727752 kBT
3f1hA_M449.pdb     -17202.359731 kBT
3f1hA_M50.pdb     -20197.089217 kBT
3f1hA_M492.pdb     -16997.616657 kBT
3f1hA_M281.pdb     -17667.557714 kBT
3f1hA_M310.pdb     -17811.749307 kBT
3f1hA_M195.pdb     -18238.282650 kBT
3f1hA_M70.pdb     -19743.011173 kBT
3f1hA_M6.pdb     -21706.761356 kBT
3f1hA_M221.pdb     -18093.151829 kBT
3f1hA_M206.pdb     -18285.997897 kBT
3f1hA_M392.pdb     -17587.625709 kBT
