2ozbF_M241.pdb     -193.731645 kBT
2ozbF_M439.pdb     -194.269711 kBT
2ozbF_M305.pdb     -218.248475 kBT
2ozbF_M28.pdb     -268.930109 kBT
2ozbF_M199.pdb     -182.124687 kBT
2ozbF_M289.pdb     -224.673166 kBT
2ozbF_M345.pdb     -167.472175 kBT
2ozbF_M194.pdb     -218.986074 kBT
2ozbF_M208.pdb     -223.112045 kBT
2ozbF_M457.pdb     -181.339013 kBT
2ozbF_M267.pdb     -223.683571 kBT
2ozbF_M165.pdb     -228.570318 kBT
2ozbF_M417.pdb     -203.048378 kBT
2ozbF_M238.pdb     -235.710575 kBT
2ozbF_M171.pdb     -209.273314 kBT
2ozbF_M107.pdb     -272.711197 kBT
2ozbF_M334.pdb     -167.999613 kBT
2ozbF_M41.pdb     -236.525426 kBT
2ozbF_M233.pdb     -218.697328 kBT
2ozbF_M313.pdb     -184.931459 kBT
2ozbF_M160.pdb     -216.725377 kBT
2ozbF_M147.pdb     -251.998370 kBT
2ozbF_M408.pdb     -220.490517 kBT
2ozbF_M203.pdb     -198.635028 kBT
2ozbF_M386.pdb     -184.868870 kBT
2ozbF_M332.pdb     -208.581109 kBT
2ozbF_M99.pdb     -245.473026 kBT
2ozbF_M61.pdb     -278.115439 kBT
2ozbF_M226.pdb     -192.480281 kBT
2ozbF_M30.pdb     -277.544018 kBT
2ozbF_M24.pdb     -261.052796 kBT
2ozbF_M273.pdb     -173.389049 kBT
2ozbF_M256.pdb     -219.111808 kBT
2ozbF_M443.pdb     -192.232090 kBT
2ozbF_M197.pdb     -203.463251 kBT
2ozbF_M370.pdb     -164.009026 kBT
2ozbF_M174.pdb     -209.580802 kBT
2ozbF_M275.pdb     -214.362031 kBT
2ozbF_M387.pdb     -207.495067 kBT
2ozbF_M467.pdb     -199.610502 kBT
2ozbF_M497.pdb     -180.346436 kBT
2ozbF_M459.pdb     -213.841526 kBT
2ozbF_M37.pdb     -255.207259 kBT
2ozbF_M96.pdb     -215.024856 kBT
2ozbF_M10.pdb     -293.221382 kBT
2ozbF_M192.pdb     -202.050029 kBT
2ozbF_M314.pdb     -211.029091 kBT
2ozbF_M326.pdb     -204.891337 kBT
2ozbF_M304.pdb     -187.334808 kBT
2ozbF_M29.pdb     -266.930894 kBT
2ozbF_M58.pdb     -216.723938 kBT
2ozbF_M350.pdb     -201.451911 kBT
2ozbF_M173.pdb     -165.328009 kBT
2ozbF_M453.pdb     -230.326527 kBT
2ozbF_M188.pdb     -191.455664 kBT
2ozbF_M164.pdb     -213.680191 kBT
2ozbF_M406.pdb     -194.002334 kBT
2ozbF_M248.pdb     -204.337680 kBT
2ozbF_M235.pdb     -236.394522 kBT
2ozbF_M57.pdb     -273.309486 kBT
2ozbF_M424.pdb     -232.031353 kBT
2ozbF_M6.pdb     -279.344455 kBT
2ozbF_M416.pdb     -196.143789 kBT
2ozbF_M451.pdb     -221.125497 kBT
2ozbF_M134.pdb     -213.085595 kBT
2ozbF_M372.pdb     -211.297036 kBT
2ozbF_M222.pdb     -173.856720 kBT
2ozbF_M135.pdb     -204.006515 kBT
2ozbF_M84.pdb     -228.748560 kBT
2ozbF.pdb     -284.892966 kBT
2ozbF_M251.pdb     -194.386212 kBT
2ozbF_M166.pdb     -220.619184 kBT
2ozbF_M114.pdb     -204.520655 kBT
2ozbF_M422.pdb     -209.019659 kBT
2ozbF_M137.pdb     -194.991685 kBT
2ozbF_M168.pdb     -195.868337 kBT
2ozbF_M48.pdb     -236.598333 kBT
2ozbF_M44.pdb     -256.239471 kBT
2ozbF_M121.pdb     -216.568953 kBT
2ozbF_M74.pdb     -245.785073 kBT
2ozbF_M319.pdb     -194.277100 kBT
2ozbF_M405.pdb     -215.520086 kBT
2ozbF_M108.pdb     -235.860262 kBT
2ozbF_M389.pdb     -198.037328 kBT
2ozbF_M200.pdb     -225.385013 kBT
2ozbF_M310.pdb     -202.225075 kBT
2ozbF_M216.pdb     -235.171545 kBT
2ozbF_M373.pdb     -213.130878 kBT
2ozbF_M12.pdb     -278.070019 kBT
2ozbF_M113.pdb     -253.462727 kBT
2ozbF_M85.pdb     -244.942859 kBT
2ozbF_M395.pdb     -195.837870 kBT
2ozbF_M353.pdb     -214.318123 kBT
2ozbF_M254.pdb     -216.096870 kBT
2ozbF_M239.pdb     -179.103700 kBT
2ozbF_M142.pdb     -206.489401 kBT
2ozbF_M494.pdb     -145.801777 kBT
2ozbF_M14.pdb     -274.807312 kBT
2ozbF_M138.pdb     -236.581944 kBT
2ozbF_M485.pdb     -199.759484 kBT
2ozbF_M306.pdb     -176.554216 kBT
2ozbF_M36.pdb     -246.276850 kBT
2ozbF_M198.pdb     -222.992421 kBT
2ozbF_M412.pdb     -218.080241 kBT
2ozbF_M21.pdb     -276.443113 kBT
2ozbF_M364.pdb     -204.692651 kBT
2ozbF_M181.pdb     -220.677828 kBT
2ozbF_M182.pdb     -224.893793 kBT
2ozbF_M126.pdb     -233.459587 kBT
2ozbF_M380.pdb     -202.748496 kBT
2ozbF_M483.pdb     -160.924464 kBT
2ozbF_M210.pdb     -236.620664 kBT
2ozbF_M207.pdb     -210.259786 kBT
2ozbF_M231.pdb     -216.501237 kBT
2ozbF_M498.pdb     -193.844101 kBT
2ozbF_M472.pdb     -201.770765 kBT
2ozbF_M442.pdb     -216.213327 kBT
2ozbF_M170.pdb     -196.897638 kBT
2ozbF_M148.pdb     -205.621495 kBT
2ozbF_M101.pdb     -213.326066 kBT
2ozbF_M322.pdb     -251.009846 kBT
2ozbF_M131.pdb     -176.378666 kBT
2ozbF_M415.pdb     -222.775535 kBT
2ozbF_M268.pdb     -217.425965 kBT
2ozbF_M413.pdb     -230.379144 kBT
2ozbF_M433.pdb     -195.722946 kBT
2ozbF_M411.pdb     -173.649914 kBT
2ozbF_M450.pdb     -181.790482 kBT
2ozbF_M214.pdb     -252.575462 kBT
2ozbF_M117.pdb     -204.949350 kBT
2ozbF_M271.pdb     -208.564967 kBT
2ozbF_M471.pdb     -189.171878 kBT
2ozbF_M480.pdb     -168.497285 kBT
2ozbF_M284.pdb     -187.418612 kBT
2ozbF_M444.pdb     -177.195796 kBT
2ozbF_M169.pdb     -221.844358 kBT
2ozbF_M19.pdb     -286.462946 kBT
2ozbF_M321.pdb     -179.939234 kBT
2ozbF_M230.pdb     -174.504336 kBT
2ozbF_M229.pdb     -213.043232 kBT
2ozbF_M244.pdb     -190.324788 kBT
2ozbF_M307.pdb     -222.805311 kBT
2ozbF_M27.pdb     -264.999992 kBT
2ozbF_M356.pdb     -220.136827 kBT
2ozbF_M103.pdb     -232.247878 kBT
2ozbF_M396.pdb     -240.138339 kBT
2ozbF_M209.pdb     -193.195777 kBT
2ozbF_M20.pdb     -271.244286 kBT
2ozbF_M324.pdb     -190.416134 kBT
2ozbF_M390.pdb     -182.202749 kBT
2ozbF_M146.pdb     -184.990614 kBT
2ozbF_M434.pdb     -222.174672 kBT
2ozbF_M140.pdb     -199.913690 kBT
2ozbF_M473.pdb     -185.472634 kBT
2ozbF_M176.pdb     -199.471546 kBT
2ozbF_M34.pdb     -262.891084 kBT
2ozbF_M458.pdb     -198.227769 kBT
2ozbF_M75.pdb     -216.434371 kBT
2ozbF_M297.pdb     -209.890864 kBT
2ozbF_M344.pdb     -218.761231 kBT
2ozbF_M328.pdb     -207.889196 kBT
2ozbF_M259.pdb     -193.901807 kBT
2ozbF_M97.pdb     -195.325493 kBT
2ozbF_M92.pdb     -238.957785 kBT
2ozbF_M337.pdb     -210.833058 kBT
2ozbF_M202.pdb     -199.722929 kBT
2ozbF_M167.pdb     -181.259064 kBT
2ozbF_M264.pdb     -192.294155 kBT
2ozbF_M130.pdb     -221.861768 kBT
2ozbF_M189.pdb     -186.417027 kBT
2ozbF_M64.pdb     -215.715225 kBT
2ozbF_M90.pdb     -239.532262 kBT
2ozbF_M493.pdb     -227.323113 kBT
2ozbF_M159.pdb     -212.038585 kBT
2ozbF_M358.pdb     -190.445076 kBT
2ozbF_M53.pdb     -270.946740 kBT
2ozbF_M63.pdb     -241.366893 kBT
2ozbF_M331.pdb     -186.233573 kBT
2ozbF_M348.pdb     -204.403699 kBT
2ozbF_M452.pdb     -170.466229 kBT
2ozbF_M425.pdb     -198.265103 kBT
2ozbF_M486.pdb     -200.561281 kBT
2ozbF_M178.pdb     -212.201681 kBT
2ozbF_M420.pdb     -193.544096 kBT
2ozbF_M333.pdb     -189.154771 kBT
2ozbF_M185.pdb     -197.261584 kBT
2ozbF_M303.pdb     -233.959864 kBT
2ozbF_M32.pdb     -272.662882 kBT
2ozbF_M215.pdb     -205.291688 kBT
2ozbF_M206.pdb     -206.799796 kBT
2ozbF_M49.pdb     -247.268469 kBT
2ozbF_M352.pdb     -226.034301 kBT
2ozbF_M187.pdb     -217.657478 kBT
2ozbF_M116.pdb     -196.586336 kBT
2ozbF_M15.pdb     -262.285985 kBT
2ozbF_M428.pdb     -222.694044 kBT
2ozbF_M391.pdb     -222.729270 kBT
2ozbF_M393.pdb     -215.826509 kBT
2ozbF_M279.pdb     -160.438013 kBT
2ozbF_M9.pdb     -275.759032 kBT
2ozbF_M398.pdb     -161.340800 kBT
2ozbF_M56.pdb     -214.895217 kBT
2ozbF_M312.pdb     -203.186926 kBT
2ozbF_M46.pdb     -273.417689 kBT
2ozbF_M397.pdb     -196.831641 kBT
2ozbF_M456.pdb     -185.788012 kBT
2ozbF_M499.pdb     -215.127826 kBT
2ozbF_M3.pdb     -288.870684 kBT
2ozbF_M205.pdb     -184.776146 kBT
2ozbF_M220.pdb     -199.687027 kBT
2ozbF_M423.pdb     -169.057887 kBT
2ozbF_M261.pdb     -186.034314 kBT
2ozbF_M500.pdb     -175.589830 kBT
2ozbF_M487.pdb     -183.228745 kBT
2ozbF_M357.pdb     -233.196618 kBT
2ozbF_M123.pdb     -198.940326 kBT
2ozbF_M213.pdb     -227.762030 kBT
2ozbF_M346.pdb     -212.491642 kBT
2ozbF_M262.pdb     -232.250468 kBT
2ozbF_M141.pdb     -199.327039 kBT
2ozbF_M237.pdb     -207.444914 kBT
2ozbF_M177.pdb     -211.090704 kBT
2ozbF_M55.pdb     -246.776922 kBT
2ozbF_M327.pdb     -177.064956 kBT
2ozbF_M257.pdb     -200.552267 kBT
2ozbF_M464.pdb     -196.584021 kBT
2ozbF_M253.pdb     -221.935055 kBT
2ozbF_M266.pdb     -226.065190 kBT
2ozbF_M470.pdb     -165.626024 kBT
2ozbF_M276.pdb     -189.412340 kBT
2ozbF_M93.pdb     -226.007542 kBT
2ozbF_M383.pdb     -215.440609 kBT
2ozbF_M288.pdb     -180.996358 kBT
2ozbF_M115.pdb     -196.783857 kBT
2ozbF_M26.pdb     -279.274360 kBT
2ozbF_M469.pdb     -186.378885 kBT
2ozbF_M318.pdb     -223.687818 kBT
2ozbF_M477.pdb     -215.636128 kBT
2ozbF_M69.pdb     -261.353340 kBT
2ozbF_M330.pdb     -181.253752 kBT
2ozbF_M79.pdb     -207.017060 kBT
2ozbF_M242.pdb     -201.769751 kBT
2ozbF_M445.pdb     -204.851411 kBT
2ozbF_M325.pdb     -192.167033 kBT
2ozbF_M87.pdb     -244.659194 kBT
2ozbF_M296.pdb     -226.187996 kBT
2ozbF_M195.pdb     -225.650168 kBT
2ozbF_M481.pdb     -222.430821 kBT
2ozbF_M247.pdb     -227.773092 kBT
2ozbF_M72.pdb     -236.339494 kBT
2ozbF_M122.pdb     -214.542518 kBT
2ozbF_M371.pdb     -183.284630 kBT
2ozbF_M132.pdb     -217.627217 kBT
2ozbF_M7.pdb     -272.641251 kBT
2ozbF_M100.pdb     -216.928162 kBT
2ozbF_M479.pdb     -180.739342 kBT
2ozbF_M68.pdb     -248.044616 kBT
2ozbF_M368.pdb     -194.287188 kBT
2ozbF_M66.pdb     -231.450882 kBT
2ozbF_M109.pdb     -252.635679 kBT
2ozbF_M342.pdb     -198.468170 kBT
2ozbF_M191.pdb     -214.916595 kBT
2ozbF_M151.pdb     -231.310288 kBT
2ozbF_M129.pdb     -226.077766 kBT
2ozbF_M143.pdb     -238.355317 kBT
2ozbF_M381.pdb     -214.655233 kBT
2ozbF_M81.pdb     -231.465993 kBT
2ozbF_M219.pdb     -194.364095 kBT
2ozbF_M293.pdb     -192.889101 kBT
2ozbF_M359.pdb     -228.118186 kBT
2ozbF_M429.pdb     -184.195197 kBT
2ozbF_M128.pdb     -216.476184 kBT
2ozbF_M67.pdb     -286.095609 kBT
2ozbF_M449.pdb     -240.189898 kBT
2ozbF_M448.pdb     -188.665703 kBT
2ozbF_M476.pdb     -227.518351 kBT
2ozbF_M98.pdb     -230.667894 kBT
2ozbF_M95.pdb     -265.303702 kBT
2ozbF_M343.pdb     -230.966948 kBT
2ozbF_M351.pdb     -221.193927 kBT
2ozbF_M311.pdb     -222.014230 kBT
2ozbF_M309.pdb     -208.461864 kBT
2ozbF_M354.pdb     -197.410857 kBT
2ozbF_M407.pdb     -224.417599 kBT
2ozbF_M31.pdb     -261.401868 kBT
2ozbF_M409.pdb     -228.361232 kBT
2ozbF_M399.pdb     -223.349341 kBT
2ozbF_M388.pdb     -194.738216 kBT
2ozbF_M255.pdb     -205.134279 kBT
2ozbF_M102.pdb     -219.868833 kBT
2ozbF_M462.pdb     -198.831936 kBT
2ozbF_M73.pdb     -245.904952 kBT
2ozbF_M437.pdb     -211.238951 kBT
2ozbF_M369.pdb     -174.524967 kBT
2ozbF_M43.pdb     -270.987699 kBT
2ozbF_M291.pdb     -200.347257 kBT
2ozbF_M42.pdb     -244.484563 kBT
2ozbF_M426.pdb     -157.087512 kBT
2ozbF_M193.pdb     -251.010488 kBT
2ozbF_M265.pdb     -241.976024 kBT
2ozbF_M302.pdb     -190.803593 kBT
2ozbF_M149.pdb     -219.238179 kBT
2ozbF_M317.pdb     -206.265778 kBT
2ozbF_M246.pdb     -212.556004 kBT
2ozbF_M263.pdb     -164.036887 kBT
2ozbF_M1.pdb     -285.756040 kBT
2ozbF_M277.pdb     -193.229876 kBT
2ozbF_M466.pdb     -198.824033 kBT
2ozbF_M323.pdb     -202.986066 kBT
2ozbF_M11.pdb     -290.457373 kBT
2ozbF_M227.pdb     -190.639089 kBT
2ozbF_M400.pdb     -168.686793 kBT
2ozbF_M190.pdb     -177.814076 kBT
2ozbF_M38.pdb     -237.824717 kBT
2ozbF_M363.pdb     -213.906689 kBT
2ozbF_M394.pdb     -187.822908 kBT
2ozbF_M283.pdb     -190.839273 kBT
2ozbF_M104.pdb     -213.046537 kBT
2ozbF_M355.pdb     -217.174693 kBT
2ozbF_M153.pdb     -201.405161 kBT
2ozbF_M290.pdb     -180.829027 kBT
2ozbF_M336.pdb     -212.414401 kBT
2ozbF_M162.pdb     -230.807805 kBT
2ozbF_M223.pdb     -187.798954 kBT
2ozbF_M280.pdb     -220.805648 kBT
2ozbF_M272.pdb     -205.290143 kBT
2ozbF_M125.pdb     -213.759105 kBT
2ozbF_M47.pdb     -239.669786 kBT
2ozbF_M454.pdb     -187.450178 kBT
2ozbF_M377.pdb     -209.607125 kBT
2ozbF_M495.pdb     -209.055012 kBT
2ozbF_M218.pdb     -213.550716 kBT
2ozbF_M287.pdb     -184.998168 kBT
2ozbF_M133.pdb     -225.422270 kBT
2ozbF_M292.pdb     -224.146897 kBT
2ozbF_M240.pdb     -199.672384 kBT
2ozbF_M184.pdb     -230.244339 kBT
2ozbF_M234.pdb     -230.470898 kBT
2ozbF_M378.pdb     -212.380480 kBT
2ozbF_M347.pdb     -194.753712 kBT
2ozbF_M13.pdb     -279.227098 kBT
2ozbF_M111.pdb     -242.922115 kBT
2ozbF_M482.pdb     -195.744194 kBT
2ozbF_M52.pdb     -232.895429 kBT
2ozbF_M228.pdb     -208.987940 kBT
2ozbF_M78.pdb     -244.573744 kBT
2ozbF_M421.pdb     -208.958148 kBT
