R1116TS470_5.pdb     -729.692226 kBT
R1116TS163_2.pdb     -635.360222 kBT
R1116TS285_5.pdb     -814.310933 kBT
R1116TS285_2.pdb     -826.555001 kBT
R1116TS131_1.pdb     -692.661395 kBT
R1116TS489_2.pdb     -709.045564 kBT
R1116TS229_5.pdb     -1045.421105 kBT
R1116TS227_4.pdb     -806.862107 kBT
R1116TS439_2.pdb     -759.227264 kBT
R1116TS185_3.pdb     -1086.120782 kBT
R1116TS392_1.pdb     -995.950533 kBT
R1116TS235_5.pdb     -669.956695 kBT
R1116TS470_1.pdb     -769.050266 kBT
R1116TS287_5.pdb     -842.340520 kBT
R1116TS054_2.pdb     -909.559125 kBT
R1116TS245_2.pdb     -709.162146 kBT
R1116TS035_1.pdb     -1015.338696 kBT
R1116TS110_5.pdb     -1018.983961 kBT
R1116TS245_1.pdb     -691.490226 kBT
R1116TS416_1.pdb     -874.884391 kBT
R1116TS229_1.pdb     -926.278563 kBT
R1116TS091_4.pdb     -235.194157 kBT
R1116TS177_1.pdb     -898.711448 kBT
R1116TS091_5.pdb     -275.712587 kBT
R1116TS385_3.pdb     -779.953551 kBT
R1116TS076_2.pdb     -987.274814 kBT
R1116TS147_2.pdb     -716.499491 kBT
R1116TS470_3.pdb     -799.339904 kBT
R1116TS434_3.pdb     -762.745073 kBT
R1116TS229_3.pdb     -941.021441 kBT
R1116TS163_3.pdb     -716.543752 kBT
R1116TS385_5.pdb     -729.438675 kBT
R1116TS125_2.pdb     -1100.716918 kBT
R1116TS285_4.pdb     -740.876079 kBT
R1116TS131_5.pdb     -622.124758 kBT
R1116TS147_4.pdb     -806.862107 kBT
R1116TS119_1.pdb     -1032.849836 kBT
R1116TS248_2.pdb     -1088.985436 kBT
R1116TS416_4.pdb     -791.070339 kBT
R1116TS239_1.pdb     -960.837290 kBT
R1116TS248_1.pdb     -1020.599976 kBT
R1116TS287_4.pdb     -846.573001 kBT
R1116TS131_3.pdb     -611.397884 kBT
R1116TS110_3.pdb     -1007.347892 kBT
R1116TS054_3.pdb     -953.351565 kBT
R1116TS119_4.pdb     -998.993260 kBT
R1116TS081_4.pdb     -1025.601924 kBT
R1116TS119_5.pdb     -1004.796691 kBT
R1116TS227_3.pdb     -762.745073 kBT
R1116TS434_5.pdb     -758.476226 kBT
R1116TS385_1.pdb     -691.490226 kBT
R1116TS125_5.pdb     -1037.194571 kBT
R1116TS235_3.pdb     -932.565829 kBT
R1116TS470_2.pdb     -808.863939 kBT
R1116TS287_2.pdb     -888.685309 kBT
R1116TS285_3.pdb     -879.807528 kBT
R1116TS119_3.pdb     -1006.151257 kBT
R1116TS489_4.pdb     -735.506574 kBT
R1116TS054_5.pdb     -1089.688485 kBT
R1116TS238_1.pdb     -810.436233 kBT
R1116TS054_1.pdb     -884.527770 kBT
R1116TS035_2.pdb     -1093.265666 kBT
R1116TS232_2.pdb     -1206.983646 kBT
R1116TS229_2.pdb     -937.683885 kBT
R1116TS029_1.pdb     -761.255304 kBT
R1116TS245_4.pdb     -677.272208 kBT
R1116TS232_1.pdb     -1215.239670 kBT
R1116TS076_5.pdb     -1035.880065 kBT
R1116TS416_5.pdb     -870.855335 kBT
R1116TS385_4.pdb     -677.272208 kBT
R1116TS439_4.pdb     -861.255111 kBT
R1116TS434_4.pdb     -806.862107 kBT
R1116TS163_1.pdb     -524.579015 kBT
R1116TS035_5.pdb     -1006.910692 kBT
R1116TS131_4.pdb     -752.072498 kBT
R1116TS227_5.pdb     -758.476226 kBT
R1116TS029_2.pdb     -689.445695 kBT
R1116TS439_1.pdb     -831.752527 kBT
R1116TS076_4.pdb     -1018.017474 kBT
R1116TS416_2.pdb     -797.080023 kBT
R1116TS029_3.pdb     -777.213802 kBT
R1116TS439_3.pdb     -806.347632 kBT
R1116TS392_4.pdb     -795.536284 kBT
R1116TS232_3.pdb     -1199.384557 kBT
R1116TS489_1.pdb     -718.040154 kBT
R1116TS235_1.pdb     -609.816902 kBT
R1116TS227_2.pdb     -716.499491 kBT
R1116TS185_4.pdb     -1061.085974 kBT
R1116TS287_1.pdb     -916.959897 kBT
R1116TS248_4.pdb     -1068.714192 kBT
R1116TS185_1.pdb     -1065.466654 kBT
R1116TS235_4.pdb     -793.104861 kBT
R1116TS239_5.pdb     -944.709586 kBT
R1116TS119_2.pdb     -1037.643159 kBT
R1116TS229_4.pdb     -956.461197 kBT
R1116TS081_2.pdb     -919.871312 kBT
R1116TS238_2.pdb     -195.527777 kBT
R1116TS385_2.pdb     -709.162146 kBT
R1116TS147_3.pdb     -762.745073 kBT
R1116TS489_5.pdb     -641.462136 kBT
R1116TS248_5.pdb     -1051.466582 kBT
R1116TS227_1.pdb     -796.681234 kBT
R1116TS091_1.pdb     -304.279779 kBT
R1116TS185_5.pdb     -1168.106830 kBT
R1116TS245_3.pdb     -779.953551 kBT
R1116TS235_2.pdb     -678.401148 kBT
R1116TS470_4.pdb     -726.083525 kBT
R1116TS185_2.pdb     -1186.045233 kBT
R1116TS076_1.pdb     -988.352412 kBT
R1116TS489_3.pdb     -706.992750 kBT
R1116TS131_2.pdb     -422.638297 kBT
R1116TS110_4.pdb     -1003.692104 kBT
R1116TS147_1.pdb     -796.681234 kBT
R1116TS232_5.pdb     -1205.944580 kBT
R1116TS035_3.pdb     -1019.741755 kBT
R1116TS245_5.pdb     -729.438675 kBT
R1116TS147_5.pdb     -758.476226 kBT
R1116TS248_3.pdb     -1071.330365 kBT
R1116TS097_1.pdb     -339.731183 kBT
R1116TS439_5.pdb     -860.290782 kBT
R1116TS125_4.pdb     -975.730354 kBT
R1116TS081_5.pdb     -978.552632 kBT
R1116TS392_2.pdb     -943.282960 kBT
R1116TS287_3.pdb     -858.684515 kBT
R1116TS239_4.pdb     -921.900920 kBT
R1116TS110_1.pdb     -1016.254663 kBT
R1116TS434_1.pdb     -796.681234 kBT
R1116TS392_5.pdb     -817.769728 kBT
R1116TS081_3.pdb     -991.283398 kBT
R1116TS125_1.pdb     -1073.655233 kBT
R1116TS239_3.pdb     -955.591662 kBT
R1116TS054_4.pdb     -1040.135232 kBT
R1116TS416_3.pdb     -968.719154 kBT
R1116TS434_2.pdb     -716.499491 kBT
R1116TS081_1.pdb     -935.981721 kBT
R1116TS285_1.pdb     -821.729032 kBT
R1116TS110_2.pdb     -1000.754804 kBT
R1116TS239_2.pdb     -982.217969 kBT
R1116TS091_3.pdb     -228.673905 kBT
R1116TS076_3.pdb     -1016.428421 kBT
R1116TS035_4.pdb     -1014.665863 kBT
R1116TS392_3.pdb     -782.879148 kBT
R1116TS091_2.pdb     -312.921696 kBT
R1116TS125_3.pdb     -997.289634 kBT
R1116TS232_4.pdb     -1171.029213 kBT
